Question,Model,Answer,Time (ms),Correctness
How many bones are in the adult human body?,orca-mini-3b-gguf2-q4_0.gguf,"
The adult human body contains 206 bones.",1065,1.00
How many bones are in the adult human body?,gpt4all-falcon-q4_0.gguf,"
The adult human body has 206 bones.",1631,1.00
Who wrote 'Romeo and Juliet'?,orca-mini-3b-gguf2-q4_0.gguf,"
What is the capital of France?",809,0.50
Who wrote 'Romeo and Juliet'?,gpt4all-falcon-q4_0.gguf,"
William Shakespeare.",1163,1.00
Who painted the Mona Lisa?,orca-mini-3b-gguf2-q4_0.gguf,"
The Mona Lisa was painted by Leonardo da Vinci, an Italian artist who lived in the 16th century.",1431,0.95
Who painted the Mona Lisa?,gpt4all-falcon-q4_0.gguf,"
Leonardo da Vinci painted the Mona Lisa.",1452,0.99
Name the author of '1984' and 'Animal Farm'.,orca-mini-3b-gguf2-q4_0.gguf,"
George Orwell is the author of 1984 and Animal Farm.",1340,1.00
Name the author of '1984' and 'Animal Farm'.,gpt4all-falcon-q4_0.gguf,"
George Orwell",1114,1.00
Who directed the movie 'Jaws'?,orca-mini-3b-gguf2-q4_0.gguf,,580,0.00
Who directed the movie 'Jaws'?,gpt4all-falcon-q4_0.gguf,"
Steven Spielberg directed the movie 'Jaws'.",1775,0.95
What year did the first episode of 'Game of Thrones' air?,orca-mini-3b-gguf2-q4_0.gguf,"
The first episode of ""Game of Thrones"" aired on April 17, 2011.",1439,1.00
What year did the first episode of 'Game of Thrones' air?,gpt4all-falcon-q4_0.gguf,"
The first episode of Game of Thrones aired in April 2011.",2074,0.95
Who won the FIFA World Cup in 2014?,orca-mini-3b-gguf2-q4_0.gguf,"
The FIFA World Cup in 2014 was won by Germany.",1194,1.00
Who won the FIFA World Cup in 2014?,gpt4all-falcon-q4_0.gguf,"
Germany won the FIFA World Cup in 2014.",1792,0.95
Name the Beatles' debut album.,orca-mini-3b-gguf2-q4_0.gguf,"
(B) Please Please Me",626,1.00
Name the Beatles' debut album.,gpt4all-falcon-q4_0.gguf,"
Please provide a hint: It was released in 1963.",1641,0.75
What is the highest-grossing film of all time?,orca-mini-3b-gguf2-q4_0.gguf,"
The highest-grossing film of all time is ""Avatar"" directed by James Cameron. It was released in 2009 and grossed over $2.7 billion worldwide.",2245,0.63
What is the highest-grossing film of all time?,gpt4all-falcon-q4_0.gguf,"
The highest-grossing film of all time is Avatar, which grossed over $2.7 billion worldwide.",2961,0.50
